Round Number,Date,Location,Home Team,Away Team,Result
36,27/04/2019 19:45,St. Mary's Stadium,Southampton,Bournemouth,
36,27/04/2019 19:45,Tottenham Hotspur Stadium,Spurs,West Ham,
36,27/04/2019 19:45,Vicarage Road,Watford,Wolves,
37,04/05/2019 19:45,Emirates Stadium,Arsenal,Brighton,
37,04/05/2019 19:45,Vitality Stadium,Bournemouth,Spurs,
37,04/05/2019 19:45,Cardiff City Stadium,Cardiff,Crystal Palace,
37,04/05/2019 19:45,Stamford Bridge,Chelsea,Watford,
37,04/05/2019 19:45,Goodison Park,Everton,Burnley,
37,04/05/2019 19:45,John Smith's Stadium,Huddersfield,Man Utd,
37,04/05/2019 19:45,Etihad Stadium,Man City,Leicester,
37,04/05/2019 19:45,St. James' Park,Newcastle,Liverpool,
37,04/05/2019 19:45,London Stadium,West Ham,Southampton,
37,04/05/2019 19:45,Molineux Stadium,Wolves,Fulham,
38,12/05/2019 19:45,Amex Stadium,Brighton,Man City,
38,12/05/2019 19:45,Turf Moor,Burnley,Arsenal,
38,12/05/2019 19:45,Selhurst Park,Crystal Palace,Bournemouth,
38,12/05/2019 19:45,Craven Cottage,Fulham,Newcastle,
38,12/05/2019 19:45,King Power Stadium,Leicester,Chelsea,
38,12/05/2019 19:45,Anfield,Liverpool,Wolves,
38,12/05/2019 19:45,Old Trafford,Man Utd,Cardiff,
